commit	val_accuracy	memory_gb	status	description
a1b2c3d	0.7222	49.2	keep	ConvNeXt-Large baseline - 72.2% val (BEST)
b2c3d4e	0.6173	100.5	discard	Ensemble 2x ConvNeXt-L - overfitting
c3d4e5f	0.5226	39.4	discard	Swin-B - transformer not fitting
d4e5f6g	0.5844	67.5	discard	EfficientNet-B7 - 58% val
e5f6g7h	0.5782	97.5	discard	ConvNeXt-L v2 batch16 - hurt
f6g7h8i	0.5988	50.6	discard	Mixup alpha=0.4 - hurt
g7h8i9j	0.1667	50.4	discard	Light augmentations - NaN
h8i9j0k	0.7222	49.2	keep	ConvNeXt-Large repro - 72.2%
i9j0k1l	0.7140	50.4	discard	TTA 4-flip - no improvement
j0k1l2m	0.6420	49.2	discard	Lower LR 0.00003 - 64%
k1l2m3n	0.6996	50.4	discard	Two-stage train - 70%
l1m2n3o	0.1667	49.3	discard	SGD LR=0.01 - diverged
m2n3o4p	0.1667	49.3	discard	SGD warmup - diverged
n3o4p5q	0.1667	48.5	discard	Adamax - diverged
o4p5q6r	0.1667	48.5	discard	RMSprop - diverged
p5q6r7s	0.7140	49.2	discard	3-model ensemble - 71.4%
q6r7s8t	0.6132	38.5	discard	ConvNeXt-Base - 61%
r7s8t9u	0.5782	45.2	discard	EfficientNet-B5 - 57.8%
