Downloading kernel from kernels-community/flash-attn3...
Warning: Failed to clone repository: Command '['git', 'clone', 'https://github.com/kernels-community/flash-attn3.git']' returned non-zero exit status 128.
Fallback: Using torch.nn.functional.scaled_dot_product_attention
Flash attention kernel loaded but missing flash_attn_func, using PyTorch FA2
Loading training dataset...
Dataset: loading cached dataset from /home/bimrose2/.cache/autoresearch/vision/dataset_cache.pt
Model config: {'image_size': 64, 'patch_size': 8, 'num_classes': 200, 'n_layer': 8, 'n_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  patch_embed             : 147,456
  head                    : 153,600
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 56,924,944
Estimated FLOPs per forward pass: 3.556071e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1
Dataset size: 100000, samples/opt-step: 1024, steps/epoch: 98

step 00000 (0.0%) | loss: 5.3045 | lrm: 1.00 | dt: 4517ms | tok/sec: 14,508 | mfu: 1.4% | remaining: 300s    
step 00001 (0.0%) | loss: 94.2628 | lrm: 1.00 | dt: 416ms | tok/sec: 157,679 | mfu: 15.5% | remaining: 300s    
step 00002 (0.0%) | loss: 110.3745 | lrm: 1.00 | dt: 421ms | tok/sec: 155,814 | mfu: 15.3% | remaining: 300s    
step 00003 (0.0%) | loss: 138.6335 | lrm: 1.00 | dt: 410ms | tok/sec: 159,898 | mfu: 15.7% | remaining: 300s    
step 00004 (0.0%) | loss: 111.7197 | lrm: 1.00 | dt: 408ms | tok/sec: 160,745 | mfu: 15.8% | remaining: 300s    
step 00005 (0.0%) | loss: 172.5121 | lrm: 1.00 | dt: 409ms | tok/sec: 160,380 | mfu: 15.7% | remaining: 300s    
step 00006 (0.0%) | loss: 194.0320 | lrm: 1.00 | dt: 412ms | tok/sec: 158,907 | mfu: 15.6% | remaining: 300s    
step 00007 (0.0%) | loss: 170.3012 | lrm: 1.00 | dt: 411ms | tok/sec: 159,263 | mfu: 15.6% | remaining: 300s    
step 00008 (0.0%) | loss: 171.3086 | lrm: 1.00 | dt: 425ms | tok/sec: 154,070 | mfu: 15.1% | remaining: 300s    
step 00009 (0.0%) | loss: 191.8399 | lrm: 1.00 | dt: 412ms | tok/sec: 159,074 | mfu: 15.6% | remaining: 300s    
step 00010 (0.0%) | loss: 217.7482 | lrm: 1.00 | dt: 409ms | tok/sec: 160,119 | mfu: 15.7% | remaining: 300s    
step 00011 (0.0%) | loss: 220.7200 | lrm: 1.00 | dt: 409ms | tok/sec: 160,428 | mfu: 15.7% | remaining: 300s    
step 00012 (0.1%) | loss: 199.5064 | lrm: 1.00 | dt: 414ms | tok/sec: 158,339 | mfu: 15.5% | remaining: 299s    
step 00013 (0.3%) | loss: 186.6092 | lrm: 1.00 | dt: 423ms | tok/sec: 155,009 | mfu: 15.2% | remaining: 299s    
step 00014 (0.4%) | loss: 189.2299 | lrm: 1.00 | dt: 422ms | tok/sec: 155,254 | mfu: 15.2% | remaining: 298s    
step 00015 (0.6%) | loss: 184.1250 | lrm: 1.00 | dt: 415ms | tok/sec: 157,976 | mfu: 15.5% | remaining: 298s    
step 00016 (0.7%) | loss: 184.1232 | lrm: 1.00 | dt: 428ms | tok/sec: 153,063 | mfu: 15.0% | remaining: 297s    
step 00017 (0.8%) | loss: 169.4279 | lrm: 1.00 | dt: 427ms | tok/sec: 153,366 | mfu: 15.0% | remaining: 297s    
step 00018 (1.0%) | loss: 161.7407 | lrm: 1.00 | dt: 424ms | tok/sec: 154,738 | mfu: 15.2% | remaining: 297s    
step 00019 (1.1%) | loss: 160.3304 | lrm: 1.00 | dt: 424ms | tok/sec: 154,714 | mfu: 15.2% | remaining: 296s    
step 00020 (1.3%) | loss: 156.8190 | lrm: 1.00 | dt: 421ms | tok/sec: 155,739 | mfu: 15.3% | remaining: 296s    
step 00021 (1.4%) | loss: 152.0662 | lrm: 1.00 | dt: 419ms | tok/sec: 156,383 | mfu: 15.3% | remaining: 295s    
step 00022 (1.5%) | loss: 144.8762 | lrm: 1.00 | dt: 424ms | tok/sec: 154,725 | mfu: 15.2% | remaining: 295s    
step 00023 (1.7%) | loss: 133.5861 | lrm: 1.00 | dt: 421ms | tok/sec: 155,782 | mfu: 15.3% | remaining: 295s    
step 00024 (1.8%) | loss: 125.8761 | lrm: 1.00 | dt: 428ms | tok/sec: 153,226 | mfu: 15.0% | remaining: 294s    
step 00025 (2.0%) | loss: 123.6463 | lrm: 1.00 | dt: 428ms | tok/sec: 153,147 | mfu: 15.0% | remaining: 294s    
step 00026 (2.1%) | loss: 118.2304 | lrm: 1.00 | dt: 425ms | tok/sec: 154,057 | mfu: 15.1% | remaining: 293s    
step 00027 (2.2%) | loss: 109.5960 | lrm: 1.00 | dt: 425ms | tok/sec: 154,126 | mfu: 15.1% | remaining: 293s    
step 00028 (2.4%) | loss: 99.8728 | lrm: 1.00 | dt: 432ms | tok/sec: 151,776 | mfu: 14.9% | remaining: 292s    
step 00029 (2.5%) | loss: 91.7973 | lrm: 1.00 | dt: 433ms | tok/sec: 151,237 | mfu: 14.8% | remaining: 292s    
step 00030 (2.7%) | loss: 85.6990 | lrm: 1.00 | dt: 435ms | tok/sec: 150,706 | mfu: 14.8% | remaining: 292s    
step 00031 (2.8%) | loss: 79.5993 | lrm: 1.00 | dt: 425ms | tok/sec: 154,291 | mfu: 15.1% | remaining: 291s    
step 00032 (3.0%) | loss: 72.8647 | lrm: 1.00 | dt: 424ms | tok/sec: 154,702 | mfu: 15.2% | remaining: 291s    
step 00033 (3.1%) | loss: 66.5876 | lrm: 1.00 | dt: 416ms | tok/sec: 157,497 | mfu: 15.5% | remaining: 290s    
step 00034 (3.2%) | loss: 61.3663 | lrm: 1.00 | dt: 419ms | tok/sec: 156,512 | mfu: 15.4% | remaining: 290s    
step 00035 (3.4%) | loss: 56.7033 | lrm: 1.00 | dt: 424ms | tok/sec: 154,594 | mfu: 15.2% | remaining: 289s    
step 00036 (3.5%) | loss: 52.3124 | lrm: 1.00 | dt: 417ms | tok/sec: 157,175 | mfu: 15.4% | remaining: 289s    
step 00037 (3.7%) | loss: 48.1245 | lrm: 1.00 | dt: 419ms | tok/sec: 156,293 | mfu: 15.3% | remaining: 289s    
step 00038 (3.8%) | loss: 44.2098 | lrm: 1.00 | dt: 415ms | tok/sec: 157,855 | mfu: 15.5% | remaining: 288s    
step 00039 (3.9%) | loss: 40.5195 | lrm: 1.00 | dt: 424ms | tok/sec: 154,683 | mfu: 15.2% | remaining: 288s    
step 00040 (4.1%) | loss: 37.1242 | lrm: 1.00 | dt: 423ms | tok/sec: 155,076 | mfu: 15.2% | remaining: 287s    
step 00041 (4.2%) | loss: 34.0877 | lrm: 1.00 | dt: 422ms | tok/sec: 155,369 | mfu: 15.2% | remaining: 287s    
step 00042 (4.4%) | loss: 31.4388 | lrm: 1.00 | dt: 418ms | tok/sec: 156,878 | mfu: 15.4% | remaining: 286s    
step 00043 (4.5%) | loss: 29.1290 | lrm: 1.00 | dt: 417ms | tok/sec: 156,990 | mfu: 15.4% | remaining: 286s    
